Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.336529085777774,0.48548267326732675,1.0821690198175515,0.7202970297029703
2,1.044601033465697,0.7297648514851485,0.8284094123334824,0.78
3,0.7579073279033793,0.798230198019802,0.7446020226218278,0.7995049504950495
4,0.5797321911790584,0.8439108910891089,0.7060603572032119,0.80990099009901
5,0.453716074611881,0.8754455445544554,0.6979918080983283,0.8158415841584158
6,0.35598402741669427,0.9010519801980198,0.7178005041389526,0.8165346534653465
7,0.276250660968299,0.9232673267326733,0.7243268714769732,0.8158415841584158
8,0.22162754109369057,0.9377103960396039,0.7474430244698932,0.8214851485148514
9,0.1813400355475669,0.9481435643564357,0.7717789263476299,0.8193069306930693
10,0.14541849358025755,0.9583168316831683,0.7979888850469378,0.8204950495049504
11,0.12086343923325438,0.9651361386138614,0.8005584376993813,0.8201980198019801
12,0.1062647615948526,0.9697029702970297,0.8331927634492705,0.8198019801980198
13,0.09061838187139001,0.9744430693069307,0.826739414323923,0.8206930693069306
14,0.0822289801334575,0.976299504950495,0.8591273871922418,0.8202970297029702
15,0.07207040179608445,0.9789603960396039,0.8822791238044259,0.8179207920792079
