Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,4.009748849687697,0.17564356435643563,3.291231704663627,0.35297029702970295
2,2.886959074418756,0.40818069306930693,2.499952901767779,0.49237623762376237
3,2.2991932672035844,0.5118069306930693,2.0697027867353417,0.5557425742574258
4,1.9454464212625842,0.5700618811881188,1.8071819634377202,0.5945544554455445
5,1.7078463968974125,0.6108044554455445,1.6280276805539675,0.6234653465346535
6,1.5386358703239054,0.6395915841584159,1.5060579746584348,0.6442574257425743
7,1.4107552423507352,0.6614108910891089,1.410463031334213,0.6582178217821782
8,1.3082305391000797,0.6835024752475247,1.3417115090768548,0.6651485148514852
9,1.2249365998785706,0.6985148514851485,1.2866879769518405,0.6775247524752476
10,1.1549893860952765,0.7150866336633663,1.24053409507003,0.6862376237623763
11,1.0917415402923958,0.7268811881188119,1.200710550893711,0.6906930693069306
12,1.0385821747440327,0.7384282178217821,1.171584721607498,0.6961386138613861
13,0.988901718413528,0.749690594059406,1.1452023500128636,0.7031683168316831
14,0.9425695912936066,0.7600495049504951,1.1227122711229929,0.7055445544554455
15,0.9028549432000027,0.7704826732673268,1.1059795557698118,0.7092079207920792
16,0.8628169356644908,0.7804084158415842,1.0898315755626824,0.7121782178217821
17,0.8278434152090097,0.7897648514851485,1.0746253774135928,0.7164356435643564
18,0.7926066836601571,0.7970544554455445,1.0629362811016132,0.7184158415841584
19,0.7608283266802377,0.8062871287128713,1.0546285313895987,0.7199009900990099
20,0.7300095634558533,0.8133910891089109,1.043951076042803,0.7215841584158416
