Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,3.440108441853825,0.32793316831683167,2.3453887685944763,0.5332673267326733
2,1.8676039416201506,0.6117574257425743,1.5247086392173284,0.6548514851485149
3,1.2706644892503944,0.7132425742574258,1.2244126223310638,0.704059405940594
4,0.9617877766678605,0.774579207920792,1.0799213678021975,0.7296039603960396
5,0.750875240545484,0.8222648514851485,1.0038249960428551,0.7421782178217822
6,0.5862140076447137,0.8628712871287129,0.966144003445589,0.7486138613861386
7,0.449715379059692,0.898539603960396,0.9482081660741493,0.754950495049505
8,0.33428162194882766,0.9297772277227723,0.9442496858065641,0.756039603960396
9,0.24110331353318842,0.9541955445544554,0.9468308687210083,0.7577227722772277
10,0.16892284886982245,0.9718688118811881,0.9656896161127694,0.7548514851485149
11,0.11344377798488058,0.9838490099009901,0.9816699133643622,0.7554455445544555
12,0.07486975931303128,0.9906188118811882,1.0071770677083656,0.7514851485148515
13,0.04862955269474489,0.9950742574257426,1.0125514200971097,0.7504950495049505
14,0.03151509263464309,0.9973886138613861,1.0365758757048016,0.7503960396039604
15,0.020962752509402417,0.9984777227722772,1.0494541729552835,0.7500990099009901
16,0.013846686632295812,0.9991336633663367,1.0687445583222788,0.750990099009901
17,0.009286101168475431,0.9995792079207921,1.0882076673869845,0.7523762376237624
18,0.007607332935860333,0.9995915841584159,1.1051998274235786,0.7483168316831683
19,0.005833603119362688,0.9997277227722773,1.1227219693268402,0.7513861386138614
20,0.005686142655565474,0.9996163366336633,1.1530988895440404,0.7471287128712871
