Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.8042041891872294,0.34695544554455443,1.4966589402926118,0.6188118811881188
2,1.5361545980330742,0.5990346534653466,1.1541118553922147,0.6929702970297029
3,1.218793565070275,0.6752722772277228,1.0088236398900612,0.7310891089108911
4,1.0190735463399698,0.7234529702970297,0.9228098055795778,0.752970297029703
5,0.873541751734101,0.7597524752475248,0.8744708526926704,0.7672277227722772
6,0.7610963431738391,0.7899133663366337,0.8497552906599226,0.7732673267326733
7,0.6665875357507479,0.8123019801980198,0.8306231114400339,0.7805940594059406
8,0.5862065943603468,0.83375,0.816563798374013,0.7863366336633664
9,0.5095698508885828,0.8532425742574258,0.820147980122438,0.7893069306930693
10,0.4501132713154991,0.8684158415841584,0.8343563693563772,0.7892079207920792
11,0.39362602796147367,0.883960396039604,0.8425274857473147,0.7888118811881188
12,0.3424007616288001,0.8975,0.8564584297186966,0.7925742574257426
13,0.3001930929764663,0.9099752475247525,0.8838678606891934,0.7928712871287129
14,0.2658404400029985,0.9190470297029703,0.8865007542875372,0.7947524752475248
15,0.23341335100628952,0.9281188118811882,0.9186631337138293,0.7900990099009901
