Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,4.328202108416376,0.09039603960396039,3.756703482398504,0.24346534653465346
2,3.1636268077771876,0.3253589108910891,2.5405168714402597,0.4373267326732673
3,2.293955724827851,0.4650742574257426,1.9772479187084149,0.5314851485148515
4,1.88651208805887,0.5367945544554455,1.707941563823555,0.5831683168316831
5,1.6592502346898936,0.5821410891089109,1.5449745534341546,0.6124752475247525
6,1.5056577355046816,0.6132301980198019,1.433917077281807,0.633960396039604
7,1.3923425331145902,0.6394183168316832,1.3524044027811364,0.6498019801980198
8,1.303584078161777,0.6597648514851485,1.2914314798161954,0.6618811881188119
9,1.2289460492850859,0.6771658415841584,1.2470177661014508,0.6721782178217822
10,1.167394923729987,0.691819306930693,1.2078081399579592,0.6788118811881189
11,1.1150872007578234,0.7043069306930693,1.1736975893189636,0.6872277227722773
12,1.0648798965200592,0.7164232673267327,1.1454978728596168,0.694059405940594
13,1.0200796931793419,0.7261262376237624,1.1217578551437282,0.700990099009901
14,0.9820744400914712,0.736720297029703,1.1040987583655346,0.7051485148514851
15,0.9418042022027547,0.7463366336633663,1.0861471831044065,0.7102970297029703
16,0.9066272274225573,0.7554084158415841,1.0727992336961287,0.7142574257425742
17,0.8739302728938151,0.7646287128712871,1.0618120703516127,0.717029702970297
18,0.8440692450709736,0.771559405940594,1.0498830902425549,0.7198019801980198
19,0.8138736775027046,0.7801732673267326,1.0428204468533964,0.7213861386138614
20,0.78688314104382,0.7854579207920792,1.0322160758549654,0.727029702970297
